,,,,,,,,,,,,,,,,,0,0,0,1,2,3,3,6,6,8,8,8,8,8,8,8,
,,,,,,,,,,,,,,,,,RECEIVER,RECEIVER,RECEIVER,TEMPERATURE SENSOR,RPM SENSOR,ALTITUDE SENSOR,ALTITUDE SENSOR,VOLTAGE SENSOR,VOLTAGE SENSOR,GPS,GPS,GPS,GPS,GPS,GPS,GPS,
TIME,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,BATTERY,EXTERNAL BATTERY,STATUS,TEMPERATURE,ROTATION,ALTITUDE,VARIOMETER,BATTERY,EXT. BATT.,DISTANCE,SPEED,ALTITUDE,VARIOMETER,LATITUDE,LONGITUDE,TIME(UTC),
0,-9,1,70,8,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,---,---,    0,  -9,---,---,---,
5010,-40,2,70,7,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,    0,151,   10,   0,N 33:26.6308,W111:35.3894,18:09:40,
10010,-9,2,70,7,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   73,187,    1, -15,N 33:26.5963,W111:35.4123,18:09:44,
15030,-9,2,70,7,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  181, 83,   -6,  +3,N 33:26.6415,W111:35.2729,18:09:49,
20030,-9,-28,70,7,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   85,110,   -3, +10,N 33:26.5940,W111:35.4225,18:09:55,
25030,-8,-22,70,7,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  131,167,  -24,  +2,N 33:26.6241,W111:35.3051,18:10:00,
30040,-17,2,70,7,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   24,148,  -23,  +3,N 33:26.6299,W111:35.3932,18:10:05,
35030,-9,2,70,8,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   56,159,  -21,  -8,N 33:26.6043,W111:35.3989,18:10:10,
40040,-9,2,70,7,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  126,140,  -20,  -5,N 33:26.6600,W111:35.3171,18:10:15,
45050,-9,-26,70,7,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,   72,145,   -9,  +7,N 33:26.6106,W111:35.4275,18:10:20,
50070,-10,-38,70,7,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  109,161,  -12,  +7,N 33:26.6019,W111:35.3283,18:10:25,
