,,,,,,,,,,,,,,,,,0,0,0,1,2,3,3,6,6,8,8,8,8,8,8,8,
,,,,,,,,,,,,,,,,,RECEIVER,RECEIVER,RECEIVER,TEMPERATURE SENSOR,RPM SENSOR,ALTITUDE SENSOR,ALTITUDE SENSOR,VOLTAGE SENSOR,VOLTAGE SENSOR,GPS,GPS,GPS,GPS,GPS,GPS,GPS,
TIME,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,BATTERY,EXTERNAL BATTERY,STATUS,TEMPERATURE,ROTATION,ALTITUDE,VARIOMETER,BATTERY,EXT. BATT.,DISTANCE,SPEED,ALTITUDE,VARIOMETER,LATITUDE,LONGITUDE,TIME(UTC),
0,6,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,---,3,---,     0,---,---,---,---,    0, 59,    0,+128,N 33:26.5912,W111:35.3621,19:20:59,
60,6,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,---,3,---,     0,---,---,---,---,    0, 59,    0,+128,N 33:26.5912,W111:35.3621,19:20:59,
110,6,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,---,3,---,     0,---,---,---,---,    0, 59,    0,+128,N 33:26.5912,W111:35.3621,19:20:59,
160,6,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,---,3,---,     0,---,---,---,---,    0, 59,    0,+128,N 33:26.5912,W111:35.3621,19:20:59,
220,6,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,---,3,---,     0,---,---,---,---,    0, 59,    0,+128,N 33:26.5912,W111:35.3621,19:20:59,
280,6,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,---,3,---,     0,---,---,---,---,    0, 59,    0,+128,N 33:26.5912,W111:35.3621,19:20:59,
330,4,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,---,3,---,     0,---,---,---,---,   30, 67,   29,+164,N 33:26.5976,W111:35.3789,19:21:00,
390,-3,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,---,3,---,     0,---,---,---,---,   44, 67,   29,+164,N 33:26.5976,W111:35.3789,19:21:00,
440,-12,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,---,3,---,     0,---,---,---,---,   44, 67,   29,+164,N 33:26.5976,W111:35.3789,19:21:00,
500,-17,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,---,3,---,     0,---,---,---,---,   44, 67,   29,+164,N 33:26.5976,W111:35.3789,19:21:00,
560,-18,-2,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,---,3,---,     0,---,---,---,---,   44, 67,   29,+164,N 33:26.5976,W111:35.3789,19:21:00,
