Latitude,Longitude,Lat-Long,Time
N 33:26.5912,W111:35.3621,"33d 26.5912N, 111d 35.3621W",19:20:59
N 33:26.5912,W111:35.3621,"33d 26.5912N, 111d 35.3621W",19:20:59
N 33:26.5912,W111:35.3621,"33d 26.5912N, 111d 35.3621W",19:20:59
N 33:26.5912,W111:35.3621,"33d 26.5912N, 111d 35.3621W",19:20:59
N 33:26.5912,W111:35.3621,"33d 26.5912N, 111d 35.3621W",19:20:59
N 33:26.5976,W111:35.3789,"33d 26.5976N, 111d 35.3789W",19:21:00
N 33:26.5976,W111:35.3789,"33d 26.5976N, 111d 35.3789W",19:21:00
N 33:26.5976,W111:35.3789,"33d 26.5976N, 111d 35.3789W",19:21:00
N 33:26.5976,W111:35.3789,"33d 26.5976N, 111d 35.3789W",19:21:00
N 33:26.5976,W111:35.3789,"33d 26.5976N, 111d 35.3789W",19:21:00
N 33:26.5976,W111:35.3789,"33d 26.5976N, 111d 35.3789W",19:21:00
N 33:26.5976,W111:35.3789,"33d 26.5976N, 111d 35.3789W",19:21:00
N 33:26.5976,W111:35.3789,"33d 26.5976N, 111d 35.3789W",19:21:00
N 33:26.5976,W111:35.3789,"33d 26.5976N, 111d 35.3789W",19:21:00
N 33:26.5976,W111:35.3789,"33d 26.5976N, 111d 35.3789W",19:21:00
N 33:26.5976,W111:35.3789,"33d 26.5976N, 111d 35.3789W",19:21:00
N 33:26.5976,W111:35.3789,"33d 26.5976N, 111d 35.3789W",19:21:00
N 33:26.5976,W111:35.3789,"33d 26.5976N, 111d 35.3789W",19:21:00
N 33:26.5976,W111:35.3789,"33d 26.5976N, 111d 35.3789W",19:21:00
N 33:26.5976,W111:35.3789,"33d 26.5976N, 111d 35.3789W",19:21:00
N 33:26.5976,W111:35.3789,"33d 26.5976N, 111d 35.3789W",19:21:00
N 33:26.5976,W111:35.3789,"33d 26.5976N, 111d 35.3789W",19:21:00
N 33:26.5976,W111:35.3789,"33d 26.5976N, 111d 35.3789W",19:21:00
N 33:26.6060,W111:35.3968,"33d 26.6060N, 111d 35.3968W",19:21:01
N 33:26.6060,W111:35.3968,"33d 26.6060N, 111d 35.3968W",19:21:01
